TransactionID,Date,Amount,Currency,PaymentType,Status,SenderName,SenderTIN,SenderBank,SenderBankRouting,SenderAccountNo,ReceiverName,ReceiverTIN,ReceiverBank,ReceiverBankRouting,ReceiverAccountNo,BusinessCategory,TransactionFee,IsInternational,Notes,ProcessedBy,BankBranch,Region,Channel,Purpose,CustomerSegment,SettlementDate,FXRate,OriginalCurrency,ChargeBearer,SwiftCode,ComplianceCheck,AMLScore,KYCCheck,TaxWithheld,AuditTrail,TransactionTime,CountryCode,UserDevice,IPAddress,PaymentPriority,Recurring,LinkedTxn,CustomField1,CustomField2,CustomField3,ReferenceNumber,FraudCheck,OriginatingSystem
16fb8c56-ee7a-42dc-8b56-e06415929750,4/3/2025,7790.95,USD,Wire Debit,Completed,Smith-Garza,46-5795135,Citibank,084943060,MBBP43643764468889,"Bright, Thomas and Adams",22-5616532,Citibank,111063402,ASIG11752372524348,e-enable compelling channels,29.08,FALSE,Everything her also.,Jessica Williams,Port Chelsea,Colorado,Online,Re-engineered transitional capability,Enterprise,4/3/2025,1,USD,Receiver,VLGIGBH9,Pending,0.42,Complete,52.69,http://jackson.biz/,13:38:23,US,Web,30.164.48.47,Normal,FALSE,2a37a0ab-0aa0-4813-93cc-c4b590ea65e0,maybe,conference,perhaps,ea37f274-b78a-4ab2-a45d-468559d2aea0,Suspected,ERP
b65dc35c-cc75-4aad-9e6f-cc81a9ac3c21,4/3/2025,6376.25,USD,Wire Credit,Failed,Sutton LLC,40-2978657,Bank of America,115965069,QBAA38107889578871,Hill-Porter,52-3605933,Bank of America,020515397,SYJS91922992807465,reinvent plug-and-play web services,11.62,FALSE,And street effort become catch likely.,Austin Frazier,West Sharonfort,Minnesota,Bank Branch,Enhanced local forecast,SMB,4/1/2025,1,USD,Receiver,CCXLGBMV,Passed,0.19,Incomplete,88.75,https://www.ortiz.info/,3:00:35,US,Android,15.208.99.112,High,FALSE,c26db9c3-62b4-4599-b056-0760a7f2ccde,collection,note,use,10a987d7-c869-4078-8312-c28e6135fc19,Under Review,Manual Entry
5973c5fd-f40a-4fcc-9184-e611b2bedfd9,4/4/2025,1254.9,USD,Wire Debit,Pending,Wang-Wall,30-4231573,PNC Bank,110178709,QVFX93885925993871,"Whitney, Salazar and Thompson",30-0570229,PNC Bank,109738516,GNCL92357796526110,scale dynamic relationships,25.34,FALSE,Way reflect result amount interview.,William Nelson,West Kimberly,Florida,Online,User-friendly global moratorium,SMB,4/1/2025,1,USD,Receiver,JWQRGB05B7J,Pending,0.2,Complete,43.88,https://wilson.com/,18:51:41,US,iOS,48.15.247.120,High,TRUE,28edde7b-597e-4ab5-b4a5-a79aae3201d8,purpose,president,with,3cd7c67a-11a8-481e-9865-4597247f7f8c,Suspected,Manual Entry
3b05b35c-5c52-4437-90f1-5c5905a2e8f9,4/1/2025,37479.24,USD,Wire Debit,Failed,Johnson-Kennedy,15-0920037,Citibank,067225970,BOVC90870628163161,"Garcia, Day and Ashley",27-7410712,Bank of America,021264100,ZJAL02092345420195,target end-to-end networks,24.98,FALSE,Tonight tax summer.,William Hebert MD,Garciashire,Wyoming,Online,Integrated bottom-line migration,SMB,4/3/2025,1,USD,Receiver,EMKNGB8XNOD,Flagged,0.72,Complete,141.86,https://www.navarro-barajas.com/,15:29:48,US,Web,42.28.168.238,High,FALSE,2bd63e30-a934-4070-af44-6dfb005441e6,growth,where,adult,32123110-072e-482a-9e3a-2a901b4ea895,Clear,CRM
9d545c73-e643-49c0-b701-3317d5b6a5bf,4/4/2025,18799.79,USD,Wire Credit,Failed,Jordan-Copeland,71-5542487,Chase,127026404,AIBE66202891252607,Nelson Inc,85-7012460,Chase,070830417,QRVO29047715332145,syndicate robust applications,22.3,FALSE,Me explain skin would individual staff growth book.,Tracy Davis,Zacharyshire,Colorado,Online,Decentralized value-added system engine,Enterprise,4/3/2025,1,USD,Sender,AFAKGBF6,Passed,0.69,Complete,104.38,https://www.larsen.com/,11:54:13,US,Android,59.150.111.192,Normal,FALSE,0b81d7bf-4e4d-4202-bf42-a9005cabc7ff,step,increase,gun,7f35d80c-99c1-43ba-8c1f-e7349b930cd4,Suspected,CRM
958098c4-782c-41d2-a35d-b1a56621404e,4/1/2025,16870.64,USD,Wire Debit,Failed,"Blankenship, Decker and Hudson",75-4471247,Bank of America,070269363,MBUD93280866297154,Henry Group,13-7877544,Chase,117846623,GUXY96687108842673,implement wireless web-readiness,34.16,FALSE,War here past feeling red kitchen low PM.,Mark Miller,New Sharonstad,Virginia,Mobile App,Persevering zero tolerance pricing structure,Enterprise,4/4/2025,1,USD,Receiver,ZANCGBRV2JE,Passed,0.66,Complete,154.74,http://bell-mullins.info/,17:07:34,US,Web,55.63.179.48,High,FALSE,6a6ab042-acc0-4cd7-bde8-787e0d23eb9e,vote,worker,last,30d8e738-5087-4d6b-8104-843ff17c18a0,Under Review,Manual Entry
f315962d-5b30-442b-b456-83946ac96747,4/1/2025,36582.4,USD,Wire Debit,Completed,Ewing and Sons,39-0535812,Citibank,067180798,ALCP20922118360591,"Allen, Myers and Johnson",39-2259146,Wells Fargo,098095483,FCBR33038882996746,implement leading-edge technologies,36.8,FALSE,Site voice black station fill person series scientist.,Rebecca Jacobs,East Michelemouth,Vermont,Bank Branch,Polarized solution-oriented framework,SMB,4/3/2025,1,USD,Receiver,UOFPGBXZCUQ,Flagged,0.55,Complete,54.75,https://shaffer.info/,12:07:13,US,Android,148.253.227.163,High,FALSE,38e1618d-49fe-4825-9098-ff7916a0271c,last,street,soldier,b5319b35-347c-4985-8951-2a529133c9fc,Suspected,Manual Entry
8e02b571-4125-4ba6-aba8-1a168075899f,4/3/2025,19349.69,USD,Wire Credit,Completed,Martinez Group,20-4893230,Citibank,045445358,ZZKY17225676377527,Castaneda Group,95-1013286,Chase,094269886,UJZW67500258926511,orchestrate clicks-and-mortar systems,39.82,FALSE,Movement particularly chair seek live what world.,Cynthia Crawford,West Rachel,Iowa,Mobile App,Realigned background matrix,SMB,4/2/2025,1,USD,Receiver,NWJCGBLYWJ0,Passed,0.11,Incomplete,175.79,https://www.miller.org/,18:13:58,US,Android,142.206.121.83,Normal,TRUE,ee67e99a-22d6-4b33-969b-8cab7c5f71df,site,prepare,long,75f15fec-fbde-41ee-92ad-6c75bb422a01,Suspected,ERP
62ac0c9d-ca44-41c3-aa9b-6649bc0f8d22,4/4/2025,36066.06,USD,Wire Credit,Pending,Ramirez and Sons,55-1595057,Wells Fargo,104699430,IFTZ75600719389516,Edwards-Gray,91-6053616,Wells Fargo,027281776,VULF75084710953638,integrate user-centric e-tailers,44.96,FALSE,Next skill maintain research man for.,Tracy Alvarado,Ramirezport,New York,Online,Multi-channeled bandwidth-monitored array,Enterprise,4/1/2025,1,USD,Receiver,UQGPGBOI,Passed,0.76,Complete,145.38,http://thompson-wheeler.com/,0:44:13,US,iOS,149.223.107.174,High,TRUE,2bab8d9a-9d26-4f5b-92ff-c05e1aecda0c,professional,to,box,6bdae238-a394-41ab-bc00-8a3a3380f3ba,Suspected,ERP
faced169-d470-45d4-9b99-76b420de19ea,4/4/2025,21960.11,USD,Wire Credit,Completed,Bailey-Williams,43-6582066,Bank of America,032701982,NGXY86087527619488,Brown-Bryan,73-3975258,Chase,035484361,SYZX63671026617471,orchestrate bricks-and-clicks e-services,24.91,FALSE,Goal where they adult task.,Lisa Russell,New Matthew,Pennsylvania,Mobile App,Optional zero tolerance complexity,Enterprise,4/4/2025,1,USD,Receiver,QLKSGBLD5TS,Flagged,0.87,Incomplete,22.02,http://www.campbell.com/,12:29:00,US,Android,145.9.46.108,High,FALSE,1f83ec8a-ce7e-43ae-b0ad-c89b75169722,concern,boy,wind,edf9f595-b083-4042-9644-cc830bb66bce,Under Review,CRM
ec20b37e-f644-4a7d-9842-2d4d271dd9d1,4/4/2025,45997.33,USD,Wire Credit,Failed,Gonzalez-Cooper,39-2885277,Wells Fargo,122893425,YBAA20552053184729,Mendez-Sims,98-9582564,Citibank,124831621,OHPA53167048022253,re-intermediate synergistic content,45.93,FALSE,True shake writer.,Joshua Russell,South Maryhaven,Hawaii,Online,Focused intermediate task-force,Startup,4/4/2025,1,USD,Receiver,YWWRGBOEW4M,Flagged,0.96,Incomplete,86.46,https://www.collins-atkinson.com/,8:03:11,US,iOS,99.222.6.52,Normal,FALSE,547cd4a0-6db7-414c-bf31-517cacbba694,skill,among,other,6e644bd0-23b9-4bf0-aa61-8dee15cf701c,Clear,Manual Entry
09a1050e-5c1b-4a14-96f4-cddccf63c1a7,4/1/2025,3405.28,USD,Wire Debit,Failed,Gray-Myers,80-6759416,Wells Fargo,128511976,QFFI69526820840136,"Davidson, Ortega and Reid",39-9616588,Bank of America,119267174,JJVU25084232659578,leverage frictionless applications,32.43,FALSE,Strategy particular add.,Nicholas Cline,South Cherylside,North Carolina,Online,Ergonomic mobile flexibility,SMB,4/4/2025,1,USD,Receiver,HSHEGBO0,Flagged,0.39,Incomplete,42.56,https://carroll.net/,3:13:09,US,Android,160.133.247.243,Normal,FALSE,a033996d-73b6-4991-a131-e9f8610b7e9f,strategy,benefit,trial,36a25e4c-204f-4db7-b7c8-d02556e70577,Clear,Manual Entry
4c6d64c3-5cc5-4fce-9111-eb7c64581ce3,4/4/2025,19921.45,USD,Wire Credit,Completed,Blankenship Group,03-4997184,Wells Fargo,011121185,BDEW87324744221278,Lawson-Morris,90-8725833,PNC Bank,019911245,HLQY82770607495303,deliver rich methodologies,14.62,FALSE,Despite character effort notice improve common.,Lucas Wallace,Coleshire,Alaska,Mobile App,Up-sized 5thgeneration extranet,Enterprise,4/4/2025,1,USD,Sender,HEVPGBBD5P3,Passed,0.6,Complete,81.16,http://www.walters.org/,6:20:01,US,Android,123.20.161.104,High,FALSE,8521f244-e437-442b-8656-4e1bfbec5fc9,authority,become,easy,086cfa03-f321-447c-a6dc-0dfc59226002,Clear,Manual Entry
02587ade-f8cb-4b43-ad83-5cbd70f7ed5d,4/3/2025,45268.04,USD,Wire Debit,Completed,Webb-Wright,93-9418628,Wells Fargo,045564200,ARZO33593716065051,Weeks LLC,64-9996815,Bank of America,112709095,CXTX36497583783858,harness dot-com relationships,31.18,FALSE,Energy economic surface region by position.,Brittany Myers,Durhambury,New Jersey,Bank Branch,Inverse value-added hierarchy,Enterprise,4/2/2025,1,USD,Receiver,ZPMUGBG2,Flagged,0.57,Incomplete,146.45,https://www.day.info/,5:35:21,US,iOS,57.51.138.165,High,FALSE,b413b76c-5653-40e3-8d4f-09fe051f9348,hear,fund,or,7debef2c-6eeb-4218-af92-2c835f4cd982,Suspected,ERP
6e95da04-81f6-43b1-94e2-6f75e20157b3,4/2/2025,18473.23,USD,Wire Debit,Completed,Sullivan-Williamson,74-2298725,Bank of America,050971338,YLXA87716826832777,"Wilson, Bailey and Church",12-2290177,Citibank,010316894,IGUT72637719196713,incentivize rich systems,42.47,FALSE,Act often behavior.,Phillip Patel,New Robinburgh,Michigan,Bank Branch,Optimized neutral website,SMB,4/2/2025,1,USD,Sender,RCUNGB6I,Passed,0.17,Complete,177.48,https://www.peterson.com/,0:29:51,US,Web,6.92.205.53,High,TRUE,a18d8ac0-b481-48f9-95b5-08c8e2c07b9c,month,couple,five,893f4874-e2ef-489c-a766-c783310e057e,Under Review,ERP
854bf6fd-eb80-493a-8151-3812ebc19e23,4/1/2025,7273.39,USD,Wire Credit,Completed,Cortez Group,05-0671067,Wells Fargo,111381100,RTVX85965618022924,Lee PLC,48-6260717,Chase,125219679,VFKV47538168346842,transition interactive convergence,4.7,FALSE,House meet thing cell themselves allow go.,Dustin Foster,South Nicholas,New Hampshire,Bank Branch,Vision-oriented client-server policy,Enterprise,4/2/2025,1,USD,Receiver,UZPMGB3U,Pending,0.47,Complete,148.77,https://www.marquez-lambert.com/,10:13:39,US,Web,80.229.78.21,High,TRUE,bb6ae8b1-4f99-4c38-89a3-36bc000839cb,successful,he,president,64934b75-00a7-4d1e-8629-faf6fd32b857,Clear,Manual Entry
fdcd1fcb-be1f-41c8-a31e-a6aec5385779,4/3/2025,28345.77,USD,Wire Credit,Completed,"Le, Campbell and Brooks",51-8113301,Bank of America,061873069,JCCO59907802213065,Robinson-Thompson,90-9110960,PNC Bank,081584493,SPFF41851793331195,redefine best-of-breed platforms,44.18,FALSE,Clearly including discover billion early voice this.,Collin Thomas,South Tyler,New Mexico,Mobile App,Versatile intangible function,Enterprise,4/3/2025,1,USD,Sender,XDUAGB0T,Pending,0.28,Complete,154.37,http://rivera.org/,10:46:23,US,iOS,188.166.143.94,Normal,TRUE,d3f9a15b-53cd-48b9-8206-61de5917a7a7,rate,offer,star,e6210b0c-980d-476b-b7b5-a6dfa5d94ea5,Under Review,CRM
fc633aa8-753e-41ce-a81d-ebacf5327411,4/4/2025,15597.61,USD,Wire Debit,Completed,Lane-Kim,13-9788823,PNC Bank,036125988,FLYC46001347177627,Stephenson Inc,14-8826228,Citibank,106709771,AZFS03614962341315,engage bricks-and-clicks ROI,4.65,FALSE,Station able her easy difference coach tend new.,Erin Hopkins,Bakerburgh,Arizona,Mobile App,Right-sized radical project,SMB,4/2/2025,1,USD,Sender,XHXQGBAJ,Flagged,0.11,Complete,199.7,https://nguyen.biz/,2:00:24,US,iOS,104.229.81.4,High,FALSE,4f826d8c-3e7e-4740-9a59-9a825ea27d02,night,event,late,125d8eb3-09ce-4bff-ac35-76eda333d0ee,Suspected,CRM
10dcb8bc-5f3f-423d-ae55-d33a82da5332,4/3/2025,27745.05,USD,Wire Credit,Failed,Ramsey-Davis,91-3584786,Bank of America,041604038,AGPU74283119063190,"Fischer, Fisher and Santiago",10-8588703,PNC Bank,098558771,GCBW39131660975731,monetize killer portals,39.52,FALSE,Month sometimes trial trouble attorney.,Mitchell King,Lake Emilyberg,Iowa,Bank Branch,Object-based demand-driven service-desk,Enterprise,4/3/2025,1,USD,Sender,XVATGBMFGBH,Flagged,0.63,Complete,71.22,http://vargas.net/,15:32:30,US,Web,10.145.182.52,Normal,TRUE,9a8e107c-b469-4886-9d5d-e18260e1a6fc,parent,their,any,a5b39878-5526-45fe-9a4e-6065f9822cfe,Clear,Manual Entry
bb673031-17d3-4e94-ba04-09a70015fe4b,4/1/2025,11066.08,USD,Wire Credit,Pending,Greene-Patel,02-2500147,Chase,053697240,XTGU84538062974441,"Hughes, Sims and Campbell",22-9055671,PNC Bank,115344525,UXGU77477544209161,re-contextualize bricks-and-clicks communities,31.2,FALSE,Simply determine image describe sound head.,Corey Miller,North Angelaview,Rhode Island,Online,Operative demand-driven monitoring,SMB,4/1/2025,1,USD,Sender,VPTJGB2O,Passed,0.14,Incomplete,58.25,https://www.williams.biz/,22:22:01,US,iOS,222.95.49.134,Normal,FALSE,1be7b625-4b68-4690-b536-9d404f0dd6a3,art,focus,tax,32bec58b-11a9-4bf2-83da-f668f35bdb0a,Clear,ERP
dff313f2-8a75-4b54-805f-a5906b2ab6c8,4/4/2025,29567.7,USD,Wire Debit,Pending,"Pitts, Smith and Mejia",81-9430069,Chase,015299327,HKVL39483967419669,Harris-Price,66-7617263,Bank of America,112574631,QQBB22716543890942,maximize revolutionary niches,39.61,FALSE,Seem always beyond despite bag building green most.,Dustin Fernandez,Karenland,Pennsylvania,Bank Branch,Multi-channeled heuristic secured line,SMB,4/1/2025,1,USD,Sender,IITQGBNNFOM,Flagged,0.71,Complete,109.05,https://www.perez-farmer.com/,11:17:30,US,Android,198.69.109.128,High,FALSE,98137fe2-f3cd-48a3-a88f-3d565621623f,real,set,trial,57ba5797-72f3-476a-9ce9-dfcb3ef6f04c,Under Review,Manual Entry
c272e3ae-3777-4f09-8aee-9790fcf2cb44,4/3/2025,1390.67,USD,Wire Debit,Failed,Simpson Ltd,62-0982116,Citibank,088695822,VNFH31034387594185,Harris-Brown,12-2225159,PNC Bank,026014203,YGCH16415672367121,exploit proactive schemas,9.7,FALSE,Another eat spring discuss year.,Eric Jones,Williamsberg,Maryland,Mobile App,Re-engineered systemic workforce,Enterprise,4/1/2025,1,USD,Sender,KWMJGB50FQT,Flagged,0.89,Complete,187.28,http://williamson.com/,22:15:49,US,Android,219.62.146.224,High,FALSE,5505d84c-245d-4011-97e9-a83e8df2baca,finally,full,space,c6f4967b-0b18-4608-9c2c-5fb0b1416315,Clear,Manual Entry
964c1202-2a7c-452d-afde-dea45f5b9460,4/2/2025,16181.23,USD,Wire Debit,Pending,Bryant-Stephens,86-3800145,Bank of America,064190532,EUPT32913946826668,"Klein, Michael and Grant",51-3049582,Citibank,089060223,EBUK75454631060373,syndicate impactful schemas,44.68,FALSE,Standard green deep section city.,Charles Rich,Lake Tristan,Iowa,Mobile App,Seamless dynamic success,SMB,4/4/2025,1,USD,Sender,NOTHGBA94U8,Passed,0.78,Complete,188.21,https://www.bird.com/,14:52:56,US,iOS,144.98.239.95,Normal,FALSE,ad9ab010-3553-4808-9c81-137dc5817ae3,manage,increase,first,6d4a43bb-6340-45c5-800d-92beaa3e5822,Suspected,Manual Entry
9b0046a6-e77b-4e53-9bd7-62e60452b9ee,4/1/2025,18408.57,USD,Wire Credit,Pending,Wagner Inc,48-2149005,Citibank,045299449,OOJX17960105830326,"Daniels, Ayers and Woods",03-6346793,Wells Fargo,029078181,AAUK69524132980723,deliver integrated action-items,33.81,FALSE,Site vote institution evidence also.,Dana Adams,Isaacchester,Florida,Online,User-centric explicit algorithm,SMB,4/1/2025,1,USD,Receiver,UFPGGB1F0DE,Pending,0.6,Incomplete,170.21,http://davis.com/,3:42:21,US,Web,93.191.247.95,High,TRUE,23b7890f-9299-4e90-963b-1322033e210b,condition,base,few,22d1aad8-eab4-42b8-8595-a8fd2fc9ba65,Clear,CRM
51d6e9e9-af6e-4fa1-a455-96f6dee4316f,4/3/2025,44686.88,USD,Wire Debit,Completed,Harris Group,30-0254602,Bank of America,012400371,CQBH58122254797405,Johnson-Garcia,87-3860017,Chase,051248316,QPGE44857308586480,facilitate world-class web services,17.92,FALSE,Nice word get baby onto person.,Robert Lang,Andrewfort,West Virginia,Online,Organized asymmetric installation,Enterprise,4/3/2025,1,USD,Receiver,IXIRGB4KB4P,Passed,0.93,Complete,119.05,https://www.harvey.org/,14:31:11,US,Android,67.197.66.185,High,TRUE,2e3ba077-c701-401f-8860-0df6d82111ce,outside,explain,task,11993ea1-17ab-459c-9be5-ea806b00849c,Suspected,ERP
ff7f5acf-8c4f-41ea-b7ee-25361c99763e,4/1/2025,1889.37,USD,Wire Debit,Completed,Gardner and Sons,99-5319808,Bank of America,084766564,OJTS66523053625069,Wolfe Inc,21-6892339,Wells Fargo,055732226,PZGW43549954178907,expedite sticky initiatives,14.51,FALSE,Stuff until course father.,James Ellis,West Barbarafort,New Mexico,Bank Branch,Intuitive foreground application,SMB,4/4/2025,1,USD,Sender,IQDWGBC31X6,Pending,0.17,Complete,109.77,https://www.kaiser.org/,22:27:36,US,Web,132.166.111.42,Normal,FALSE,99f77d07-ffd0-4db5-9909-ffabf2ee0ebd,develop,lot,begin,ab7fa39c-216a-46bd-ba58-93af7b67bb6e,Suspected,Manual Entry
eba4b930-7b49-482b-bf06-0d0f50cd8558,4/2/2025,25416.29,USD,Wire Credit,Completed,Gomez-Smith,53-3583699,Wells Fargo,097599090,BZTP91511459829528,Chapman-Phillips,40-7586277,Bank of America,092850077,JLJZ42640321164164,unleash mission-critical bandwidth,4.27,FALSE,Create guess crime country.,Amy Williams,Heidiburgh,Minnesota,Bank Branch,Enhanced hybrid moratorium,SMB,4/3/2025,1,USD,Receiver,JPAVGBYKZQ1,Pending,0.54,Incomplete,14.14,https://leon.com/,20:21:34,US,iOS,104.163.26.71,Normal,TRUE,c3fe4ef4-25e0-43a1-be7f-f59c52e32f3b,big,century,run,f0f2862b-77ce-4f6c-bf2e-f1854976e45d,Suspected,ERP
